Name,Email Address,Description,Employee,Status,Submitted,Closed
Irene James,ngonzalez0@over-blog.com,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Nicole Gonzalez,Open,12/29/2015,5/5/2016
Louis Porter,dmorales1@gravatar.com,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",David Morales,Closed,10/24/2016,1/12/2016
Stephanie Harris,pjackson2@nba.com,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Pamela Jackson,Open,12/28/2015,9/4/2016
Sarah Crawford,kgarrett3@geocities.jp,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,Kelly Garrett,Open,2/21/2016,1/26/2016
David Nelson,abradley4@instagram.com,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Adam Bradley,Closed,2/23/2016,7/14/2016
David Little,pmoreno5@npr.org,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,Phillip Moreno,Closed,7/30/2016,1/23/2016
Russell Price,pwilson6@bloglines.com,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,Peter Wilson,Closed,3/30/2016,5/16/2016
Maria Arnold,pjames7@ycombinator.com,Maecenas ut massa quis augue luctus tincidunt.,Paula James,Open,9/27/2016,11/12/2016
Ashley Gordon,jpeters8@google.ru,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Janet Peters,Open,5/21/2016,3/20/2016
John Mills,pcarr9@goo.gl,Proin at turpis a pede posuere nonummy.,Patrick Carr,Closed,11/21/2016,3/22/2016
Kevin Austin,wlittlea@gov.uk,Curabitur gravida nisi at nibh.,Wayne Little,Closed,4/29/2016,8/31/2016
Terry Robinson,dtaylorb@umich.edu,Curabitur convallis.,Dennis Taylor,Closed,4/20/2016,7/29/2016
Larry Burns,cmoorec@wikimedia.org,"Cras mi pede, Closedsuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Craig Moore,Closed,9/3/2016,12/25/2015
Ruth Long,mgardnerd@cnet.com,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",Marilyn Gardner,Open,8/26/2016,7/7/2016
Pamela Lawrence,asmithe@angelfire.com,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Amanda Smith,Open,12/17/2015,9/3/2016
Rebecca Woods,sgutierrezf@google.pl,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Shirley Gutierrez,Open,11/13/2016,1/5/2016
Earl Ross,kolsong@cocolog-nifty.com,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Keith Olson,Closed,9/14/2016,1/9/2016
Alice Spencer,sbutlerh@tinypic.com,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Shirley Butler,Open,2/5/2016,2/13/2016
Martin Hughes,kkimi@google.de,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Kevin Kim,Closed,9/19/2016,4/12/2016
Pamela Hill,jryanj@ebay.com,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",Joan Ryan,Open,8/24/2016,11/8/2016
Carolyn Fuller,kwagnerk@free.fr,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Karen Wagner,Open,8/27/2016,5/10/2016
Christopher Martinez,wphillipsl@surveymonkey.com,Aliquam non mauris.,William Phillips,Closed,12/7/2016,11/5/2016
Benjamin Cook,rbrownm@tumblr.com,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Ryan Brown,Closed,12/12/2016,2/29/2016
Bruce Gomez,ryoungn@yelp.com,Suspendisse potenti. In eleifend quam a odio.,Ronald Young,Closed,12/11/2016,8/24/2016
Roger Hansen,afordo@washington.edu,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Antonio Ford,Closed,10/30/2016,9/6/2016
Jose Burton,abrownp@businessweek.com,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",Albert Brown,Closed,4/7/2016,11/6/2016
Craig Romero,hlaneq@bloglines.com,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Henry Lane,Closed,4/19/2016,12/25/2015
Jack Garza,cfullerr@constantcontact.com,Nullam varius. Nulla facilisi.,Clarence Fuller,Closed,5/2/2016,1/12/2016
Amanda Wood,btaylors@shareasale.com,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Betty Taylor,Open,12/21/2015,12/1/2016
Doris Cox,mstewartt@dmoz.org,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Maria Stewart,Open,8/21/2016,11/24/2016
